Odometry;2022:06:01 13:20:01.811664;Position;0.061003328732741245;2.2088380617992573;-7.928506490291304e-32;DeltaPosition;0.18966469847225206;-6.685234631512505e-51;1.5580822923052433e-35;Orientation;1.7696099420862717e-21;3.3359896370191647e-26;-39.53082563839608;AngularVelocity;1.1550683019783817e-21;1.0792305958024669e-26;-0.006816089849041593
GPS;2022:06:01 13:20:01.815148;51.98724320666667;5.66431844;4;174035.4580643148;444352.75707332155
Odometry;2022:06:01 13:20:01.831666;Position;0.06393978242856861;2.206414781608597;-2.2960100494164856e-30;DeltaPosition;0.19102297553392517;-7.329924596724461e-51;1.5577694809026473e-35;Orientation;3.0933456796587442e-21;2.8698731894006625e-25;-39.538637039452816;AngularVelocity;1.1550683019783817e-21;1.0792305958024669e-26;-0.006816089849041593
IMU;2022:06:01 13:20:01.831909;Orientation;0.9097173984957823;-2.736565467346975;-30.12766223720148;AngularVelocity;-0.005325930791192223;-0.04261064711215187;0.022370588756415025;LinearAcceleration;-0.46163771318429014;-0.06826621138185004;9.260392145754318
Odometry;2022:06:01 13:20:01.831909;Position;0.06397577743925147;2.2063854113184607;-1.0980192211346693e-32;DeltaPosition;0.19103948973759774;-7.333576407658971e-51;1.2475637543268092e-34;Orientation;3.427807808726497e-24;-1.0115040895244026e-28;-39.514841210189324;AngularVelocity;1.0748976280198259e-20;1.0043248494312353e-25;0.022278605683879956
Odometry;2022:06:01 13:20:01.871700;Position;0.06988156481534023;2.201514486063084;2.5395685875987707e-33;DeltaPosition;0.19374156964713682;-8.615987557149888e-51;1.2475010043531725e-34;Orientation;2.4509322109110162e-20;2.258296799946077e-25;-39.46404966113016;AngularVelocity;1.0748976280198259e-20;1.0043248494312353e-25;0.022278605683879956
IMU;2022:06:01 13:20:01.882765;Orientation;0.9273344269697944;-2.7509343419333168;-30.151190491934877;AngularVelocity;0.0010654178041424472;-0.024501091764769507;-0.0074568603101799625;LinearAcceleration;0.07907388200304594;0.23532767091552406;9.378951899602333
Odometry;2022:06:01 13:20:01.884819;Position;0.06462755019547457;2.205782027423808;5.362171619319687e-34;DeltaPosition;0.0728200320738907;-2.493788522554756e-51;-7.279073953112178e-36;Orientation;1.1189885721482209e-22;1.0511411128441452e-27;-39.46588436155688;AngularVelocity;2.7783528499270746e-21;2.595938350516658e-26;-0.007963506951455389
Odometry;2022:06:01 13:20:01.911651;Position;0.06613446274509416;2.2045413308174187;-3.527422764110024e-32;DeltaPosition;0.07267497403305727;-3.2533031640933486e-51;-7.277521381887798e-36;Orientation;4.3832069422453364e-21;6.486993962826125e-26;-39.47812707998252;AngularVelocity;2.7783528499270746e-21;2.595938350516658e-26;-0.007963506951455389
GPS;2022:06:01 13:20:01.924960;51.987243168333336;5.6643183100000005;4;174035.44915073947;444352.75277438754
Odometry;2022:06:01 13:20:01.911651;Position;0.06613446274509416;2.2045413308174187;-3.527422764110024e-32;DeltaPosition;0.07267497403305727;-3.2533031640933486e-51;-7.277521381887798e-36;Orientation;4.3832069422453364e-21;6.486993962826125e-26;-39.47812707998252;AngularVelocity;2.7783528499270746e-21;2.595938350516658e-26;-0.007963506951455389
IMU;2022:06:01 13:20:01.932776;Orientation;0.8966329405924176;-2.7360866376120385;-30.144166548770727;AngularVelocity;9.391050162261566e-08;-0.011717917195371972;0.002130530399212113;LinearAcceleration;0.3629041090562923;0.098804116045117;9.271167457038652
Odometry;2022:06:01 13:20:01.932776;Position;0.0673185499759844;2.2035660262886645;5.4327002288752206e-33;DeltaPosition;0.07256076923080737;-3.877862528341807e-51;-6.429717255482926e-35;Orientation;-4.378125783513956e-24;2.5364227417152325e-29;-39.47989331276846;AngularVelocity;-2.708371896842674e-20;-2.530552232978661e-25;0.002362334910521598
Odometry;2022:06:01 13:20:01.971645;Position;0.06949229787385715;2.201775407626557;4.183459265010689e-33;DeltaPosition;0.0723506354365543;-4.9788464646696e-51;-6.429416611012673e-35;Orientation;-6.032084458544454e-20;-5.631361807351401e-25;-39.47463230357828;AngularVelocity;-2.708371896842674e-20;-2.530552232978661e-25;0.002362334910521598
IMU;2022:06:01 13:20:01.983625;Orientation;0.8511810145071861;-2.81687536192225;-30.133194325956907;AngularVelocity;0.002130675177844622;-0.018109492741099936;0.003195787772943034;LinearAcceleration;0.4706872187182643;0.07904461786352071;9.152605321128918
Odometry;2022:06:01 13:20:01.983906;Position;0.06734319153340797;2.2035216701990983;-1.7275210565809223e-34;DeltaPosition;0.023939523747147612;-1.2318947304543615e-51;2.017196980708185e-36;Orientation;-1.706095904587968e-22;-1.4995834494637582e-27;-39.47198346950934;AngularVelocity;-2.6995133703532306e-20;-2.5222755051819356e-25;0.004189977971572494
Odometry;2022:06:01 13:20:02.011660;Position;0.06784582965849686;2.203107739932974;1.6869376321246177e-32;DeltaPosition;0.022982205810563882;-1.9497832742877278e-51;2.016808628921617e-36;Orientation;-4.3098396532582124e-20;-3.827528272377175e-25;-39.465320547086705;AngularVelocity;-2.6995133703532306e-20;-2.5222755051819356e-25;0.004189977971572494
GPS;2022:06:01 13:20:02.017752;51.987243158333335;5.664318205;4;174035.4419424108;444352.75163428456
IMU;2022:06:01 13:20:02.030664;Orientation;0.9038512172323799;-2.8793853652591013;-30.145137225554254;AngularVelocity;1.2130106459597818e-07;-0.01810950839302268;-0.0031957955988181695;LinearAcceleration;0.47068625533596264;0.21557025786012743;9.163383661128846
