Odometry;2022:06:01 14:04:47.387130;Position;2.7848789689950983;-0.5455957065590847;2.6381113441435597e-37;DeltaPosition;-0.0009369429772559043;2.08373614482953e-52;-6.7210826563681366e-40;Orientation;-3.3783252595161e-23;-3.1555522779010127e-28;163.00765591014905;AngularVelocity;-6.836958012656648e-23;-6.388073562652394e-28;0.00014919357734235412
GPS;2022:06:01 14:04:47.402697;51.98724952333333;5.664324521666667;4;174035.8731385196;444353.46144044737
Odometry;2022:06:01 14:04:47.411663;Position;2.7849095844243013;-0.5456050621620637;-1.760470581838708e-34;DeltaPosition;-0.0016729453669802326;3.716259391483531e-52;-6.71949639383212e-40;Orientation;-1.2988248353370222e-22;-1.0898053537606684e-27;163.00786561434816;AngularVelocity;-6.836958012656648e-23;-6.388073562652394e-28;0.00014919357734235412
IMU;2022:06:01 14:04:47.412218;Orientation;0.5916146602700704;0.7496877488311136;176.75608251666674;AngularVelocity;0.0063914894610871045;0.013848494549849268;-2.3477625406265387e-08;LinearAcceleration;3.3441243183884536e-05;0.059280870247272764;9.222666259937782
Odometry;2022:06:01 14:04:47.412218;Position;2.7849104780125735;-0.5456053352256004;-3.4161894346637937e-38;DeltaPosition;-0.001689618884356659;3.7532428175697604e-52;1.9055233617215082e-41;Orientation;-4.3678654732816795e-25;-3.995834621620505e-30;163.00785139437465;AngularVelocity;-1.4421280219471357e-20;-1.3474442274476898e-25;0.0001235077333687062
Odometry;2022:06:01 14:04:47.451712;Position;2.7849966699829025;-0.5456316738408495;-6.319622717015044e-36;DeltaPosition;-0.0028744901011607364;6.3813997804814896e-52;1.90564382101061e-41;Orientation;-3.2633116630832324e-20;-3.0490347883445504e-25;163.0081308694462;AngularVelocity;-1.4421280219471357e-20;-1.3474442274476898e-25;0.0001235077333687062
IMU;2022:06:01 14:04:47.462080;Orientation;0.5879719177939579;0.7395083120925942;176.75319316848424;AngularVelocity;0.006391477722274401;0.01491375974940502;-0.0010652886772314627;LinearAcceleration;0.03955424559115394;0.028742530582489132;9.222666114770586
Odometry;2022:06:01 14:04:47.462080;Position;2.785026714879707;-0.5456408548259388;2.083340691982444e-35;DeltaPosition;-0.003185557421480787;7.077682650961297e-52;-1.7126522558095162e-37;Orientation;-1.3148390258609537e-23;-2.0721938336923e-28;163.00768715498722;AngularVelocity;-1.0601549105745593e-20;-9.905496720377226e-26;-0.0009746885405221666
Odometry;2022:06:01 14:04:47.486136;Position;2.7848831216855032;-0.5455975054357454;-1.8044204142127903e-37;DeltaPosition;-0.0008636155257417538;1.9197988804562546e-52;-3.519739780136019e-40;Orientation;-2.0182654141798266e-23;-1.8911832585765298e-28;163.00634375622812;AngularVelocity;-4.3799309333173313e-23;-4.09236339123844e-28;-0.0009593009155883295
GPS;2022:06:01 14:04:47.496727;51.98724952333333;5.664324521666667;4;174035.8731385196;444353.46144044737
Odometry;2022:06:01 14:04:47.511661;Position;2.784912979745129;-0.5456066303459131;-1.0323366704323354e-34;DeltaPosition;-0.0015827042632004908;3.51479690661197e-52;-3.5190060900883347e-40;Orientation;-8.423827265331531e-23;-1.2818157474106298e-27;163.0049407977243;AngularVelocity;-4.3799309333173313e-23;-4.09236339123844e-28;-0.0009593009155883295
IMU;2022:06:01 14:04:47.512947;Orientation;0.5808434442294667;0.7239368381647425;176.75029178222337;AngularVelocity;0.0031956899494176056;0.013848471072195117;-0.0010652769384187596;LinearAcceleration;3.3296075987742954e-05;0.059280870246206305;9.183145679938047
Odometry;2022:06:01 14:04:47.512947;Position;2.7849149478046415;-0.5456072318560458;5.048737583158473e-38;DeltaPosition;-0.0016189206509492065;3.595127851958901e-52;-6.312917819528193e-41;Orientation;-7.320265185357278e-25;-7.267048657191012e-30;163.00488395357158;AngularVelocity;-1.4501661311835503e-20;-1.354954589628011e-25;-0.0009410724756355997
Odometry;2022:06:01 14:04:47.551667;Position;2.784995091207056;-0.5456317266832159;-1.0578592717457419e-35;DeltaPosition;-0.0027097378312055925;6.014650171103546e-52;-6.312916580622103e-41;Orientation;-3.217266886400055e-20;-3.006306280408953e-25;163.00279618420538;AngularVelocity;-1.4501661311835503e-20;-1.354954589628011e-25;-0.0009410724756355997
IMU;2022:06:01 14:04:47.561943;Orientation;0.5742711368044051;0.7139107973045342;176.74745459626553;AngularVelocity;0.005326212522697091;0.014913751923529884;-0.001065284764293895;LinearAcceleration;0.03955424559115394;0.028742530582489132;9.222666114770586
Odometry;2022:06:01 14:04:47.561943;Position;2.785023144206534;-0.5456403018488677;-5.135777482934827e-36;DeltaPosition;-0.002999247282454275;6.6552805755269646e-52;4.1751233114419844e-38;Orientation;-1.3218916093014183e-23;-2.3223574371508127e-28;163.00222643785446;AngularVelocity;-1.0604467515499611e-20;-9.908223196883971e-26;-0.0009746610384115372
Odometry;2022:06:01 14:04:47.584720;Position;2.784889747367042;-0.5455999987446182;-1.798418800623532e-37;DeltaPosition;-0.0008098885109407315;1.7983789228546185e-52;-1.2453451962313856e-40;Orientation;-2.018464076560015e-23;-1.8918120342303285e-28;163.0009544942348;AngularVelocity;-4.6255179834981263e-23;-4.321826104523164e-28;-0.0009600795283610058
GPS;2022:06:01 14:04:47.601465;51.98724952333333;5.664324521666667;4;174035.8731385196;444353.46144044737
IMU;2022:06:01 14:04:47.615819;Orientation;0.5716913414430096;0.7011931138065474;176.7443912598165;AngularVelocity;0.005326212522697091;0.014913751923529884;-0.001065284764293895;LinearAcceleration;0.04853614940128855;0.03952093656752981;9.23164803177798
