Odometry;2022:06:01 14:22:14.011718;Position;-7.210670634840124;1.5189745830595414;-9.945135620264421e-37;DeltaPosition;4.690819946141428e-06;-2.254490798625511e-53;1.9726642927973017e-41;Orientation;5.141566035378473e-22;7.098013774065153e-27;-9.903654217236276;AngularVelocity;2.3019253098122097e-22;2.1507918050889426e-27;-0.001286424276344553
IMU;2022:06:01 14:22:14.015083;Orientation;0.9752030390317956;-1.7364924956144954;9.812772434610256;AngularVelocity;0.001065237809014337;0.0031958034245998792;-0.0010652691125436241;LinearAcceleration;0.26410194642066204;0.17604816020598538;9.23164723995691
Odometry;2022:06:01 14:22:14.015083;Position;-7.210670618890381;1.518974580274757;3.427479477773283e-39;DeltaPosition;4.9308978775655e-06;-2.3696473107260603e-53;-1.0595550662413359e-41;Orientation;6.418280497786881e-24;6.308569948497964e-29;-9.904194772040322;AngularVelocity;7.906937842790433e-20;7.387803016798016e-25;-0.0017421070254347493
GPS;2022:06:01 14:22:14.047966;51.98729844166667;5.6644650500000004;4;174045.50540983057;444358.94079867913
Odometry;2022:06:01 14:22:14.051647;Position;-7.210670394314556;1.5189745410630582;-2.475837122539624e-37;DeltaPosition;7.5391347298843494e-06;-3.620721458805785e-53;-1.05951489295233e-41;Orientation;1.6565109692872287e-19;1.548163675714382e-24;-9.907844361352094;AngularVelocity;7.906937842790433e-20;7.387803016798016e-25;-0.0017421070254347493
IMU;2022:06:01 14:22:14.065942;Orientation;0.9518008444241252;-1.7822472942831893;9.813690595346499;AngularVelocity;0.00106524954782704;0.0021305382250441283;-3.912937567710898e-09;LinearAcceleration;0.33416140716163767;0.127546144890214;9.202904742615257
Odometry;2022:06:01 14:22:14.065942;Position;-7.210670280965277;1.5189745212644523;-1.0001527933632617e-36;DeltaPosition;8.558904690793061e-06;-4.086258047303415e-53;1.0286308052278632e-38;Orientation;4.703506624969309e-23;4.932837085976423e-28;-9.907903510242814;AngularVelocity;-6.76461759584846e-20;-6.320482592864727e-25;0.0005795353279217179
Odometry;2022:06:01 14:22:14.087012;Position;-7.210670719423929;1.5189745977554854;-4.59099282713613e-39;DeltaPosition;2.077557738924229e-06;-9.944737990277698e-54;7.609746690631345e-42;Orientation;-1.2851068258612468e-22;-1.201554485660596e-27;-9.907203901585287;AngularVelocity;-3.1879166908214328e-22;-2.978612118138725e-27;0.0005715058267124232
Odometry;2022:06:01 14:22:14.111657;Position;-7.2106706490782315;1.5189745854690815;1.4929665936438883e-36;DeltaPosition;3.7175034305392084e-06;-1.7809881275842786e-53;7.608254846837164e-42;Orientation;-5.7866788964819285e-22;-3.5975067644975916e-27;-9.906396893461443;AngularVelocity;-3.1879166908214328e-22;-2.978612118138725e-27;0.0005715058267124232
IMU;2022:06:01 14:22:14.114795;Orientation;0.9265894886300213;-1.8247437390895318;9.814675774633274;AngularVelocity;0.00106524954782704;0.0021305382250441283;-3.912937567710898e-09;LinearAcceleration;0.31440115675335767;0.13652794972355112;9.23164705519866
Odometry;2022:06:01 14:22:14.114795;Position;-7.210670637265492;1.5189745834060733;-6.580958801693693e-39;DeltaPosition;3.92628436602971e-06;-1.881119126601384e-53;1.8459375407208627e-41;Orientation;-7.272274485580865e-24;-6.580984960584057e-29;-9.906270909686956;AngularVelocity;-7.024471988738605e-20;-6.563275998551771e-25;0.0006015907145186778
Odometry;2022:06:01 14:22:14.151675;Position;-7.210670450043209;1.5189745507094385;2.1171767800554855e-37;DeltaPosition;6.380364652368554e-06;-3.058090610433271e-53;1.8458718852540674e-41;Orientation;-1.4844019179449622e-19;-1.3867791183310637e-24;-9.90499969860867;AngularVelocity;-7.024471988738605e-20;-6.563275998551771e-25;0.0006015907145186778
GPS;2022:06:01 14:22:14.160188;51.98729844166667;5.6644650500000004;4;174045.50540983057;444358.94079867913
IMU;2022:06:01 14:22:14.167810;Orientation;0.905096528019639;-1.8653945971141277;9.812395586697845;AngularVelocity;-4.3042313243697354e-08;0.005326325997893737;-0.0010652651996060564;LinearAcceleration;0.3233830011769121;0.13652801570786466;9.202904782206309
Odometry;2022:06:01 14:22:14.167810;Position;-7.210670340098106;1.518974531511059;-5.173722691149763e-37;DeltaPosition;7.454015853684639e-06;-3.584169639300423e-53;5.8108724940434464e-39;Orientation;-6.534280015587519e-23;-7.533702180178851e-28;-9.905175399469291;AngularVelocity;-6.193077431533533e-20;-5.786466872623701e-25;-0.0005358853155446964
Odometry;2022:06:01 14:22:14.185137;Position;-7.21067071917961;1.5189745976638755;-3.195076057100357e-40;DeltaPosition;1.913289675740056e-06;-9.21270662366498e-54;1.3316219018997743e-41;Orientation;-1.1772733941733516e-22;-1.1014159489830942e-27;-9.905707413530118;AngularVelocity;-3.5435170486575013e-22;-3.310865112671965e-27;-0.0005297638632861199
Odometry;2022:06:01 14:22:14.211684;Position;-7.210670647445761;1.5189745851369514;1.3995130595575327e-36;DeltaPosition;3.5727953625350866e-06;-1.7172754239352506e-53;1.3313286596981575e-41;Orientation;-6.567063767951059e-22;-7.79300837128969e-27;-9.906513199457374;AngularVelocity;-3.5435170486575013e-22;-3.310865112671965e-27;-0.0005297638632861199
IMU;2022:06:01 14:22:14.215671;Orientation;0.85399775316758;-1.8664765122748128;9.814292847049536;AngularVelocity;0.0010652417219519047;0.0031958034246286253;-3.912937567710897e-09;LinearAcceleration;0.3036229553224085;0.12754592054221975;9.251407384789582
GPS;2022:06:01 14:22:14.251661;51.98729844166667;5.6644650500000004;4;174045.50540983057;444358.94079867913
